key,name,moment,subject,text,score,recommended
# base entity
review-00,"Lorem ipsum dolor sit amet, consectetur",2020/01/01 00:00,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
# name - standard variations,"","","",""
review-01,L,2020/01/01 00:00,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
review-02,Lo,2020/01/01 00:00,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
review-03,"Lorem ipsum dolor sit amet, consectetur adipiscin",2020/01/01 00:00,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
review-04,"Lorem ipsum dolor sit amet, consectetur adipiscing",2020/01/01 00:00,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
review-05,โลเร็ม อิปซัม,2020/01/01 00:00,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
review-06,لوريم إيبسوم,2020/01/01 00:00,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
review-07,洛伦·伊普森,2020/01/01 00:00,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
review-08,<marquee>Hacked</marquee>,2020/01/01 00:00,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
review-09,<script>alert('Hacked!');</script>,2020/01/01 00:00,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
review-10,' or 'A' = 'A,2020/01/01 00:00,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
# name - no singular values
# moment - standard variations
review-11,"Lorem ipsum dolor sit amet, consectetur",2020/01/01 00:00,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
review-12,"Lorem ipsum dolor sit amet, consectetur",2020/06/30 00:00,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
review-13,"Lorem ipsum dolor sit amet, consectetur",2025/01/01 00:00,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
review-14,"Lorem ipsum dolor sit amet, consectetur",2000/01/01 00:00,"Lorem ipsum dolor sit amet, consectetur","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
# moment - no singular values
# subject - standard variations
review-15,"Lorem ipsum dolor sit amet, consectetur",2020/01/01 00:00,A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
review-16,"Lorem ipsum dolor sit amet, consectetur",2020/01/01 00:00,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.00,TRUE
