key,name,iataCode,website,type,foundation,email,phoneNumber
# base entity
airline-00,"Lorem ipsum",AAA,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
# name - standard variations
airline-01,"L",AAB,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
airline-02,"Lo",AAC,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
airline-03,"Lorem ipsum dolor sit amet, consectetur adipiscin",BAA,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
airline-04,"Lorem ipsum dolor sit amet, consectetur adipiscing",CAA,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
airline-05,"โลเร็ม อิปซัม",AAD,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
airline-06,"لوريم إيبسوم",AAE,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
airline-07,"洛伦·伊普森",AAF,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
airline-08,"<marquee>Hacked</marquee>",AAG,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
airline-09,"<script>alert('Hacked!');</script>",AAH,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
airline-10,"' or 'A' = 'A",AAI,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
# iataCode - standard variations
airline-11,"Lorem ipsum",AAJ,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
airline-12,"Lorem ipsum",ABC,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
airline-13,"Lorem ipsum",XYZ,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
airline-14,"Lorem ipsum",ACD,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
airline-15,"Lorem ipsum",DAW,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
airline-16,"Lorem ipsum",XXA,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
airline-17,"Lorem ipsum",ZZZ,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
# website - standard variations
airline-18,"Lorem ipsum",AAK,http://lorem.com/ipsum,LUXURY,2000/01/01 10:00,lorem@ipsum.com,+123456789
